call_20260501_001,2026-05-01 11:42:15 +0000 UTC,client_4412,DE-HE,credit_card_offer,answered,interested,184,true
call_20260501_002,2026-05-01 12:15:30 +0000 UTC,client_7890,US-CA,product_upgrade,no_answer,,0,false
call_20260501_003,2026-05-01 14:22:45 +0000 UTC,client_1123,GB-LDN,service_renewal,answered,not_interested,95,false
call_20260501_004,2026-05-01 15:30:00 +0000 UTC,client_5567,FR-PAR,credit_card_offer,answered,interested,210,true
call_20260501_005,2026-05-01 16:45:20 +0000 UTC,client_9988,DE-BY,product_upgrade,answered,callback_request,67,true
call_20260501_006,2026-05-01 17:15:45 +0000 UTC,client_3344,US-NY,loan_offer,busy,,0,false
call_20260501_007,2026-05-01 18:30:10 +0000 UTC,client_7766,IT-ROM,insurance_sale,answered,purchase,145,false
call_20260501_008,2026-05-01 19:45:55 +0000 UTC,client_2233,ES-MAD,credit_card_offer,wrong_number,,0,false
call_20260501_009,2026-05-01 20:55:30 +0000 UTC,client_6677,DE-HE,product_upgrade,answered,not_interested,78,false
call_20260501_010,2026-05-01 21:10:15 +0000 UTC,client_8899,GB-LDN,service_renewal,answered,interested,320,true
call_20260501_011,2026-05-01 22:25:40 +0000 UTC,client_4455,FR-PAR,loan_offer,no_answer,,0,false
call_20260501_012,2026-05-01 23:35:50 +0000 UTC,client_1122,US-CA,insurance_sale,answered,callback_request,55,true
call_20260501_100001,2026-05-01 10:00:00 +0000 UTC,client_1001,US-CA,product_upgrade,no_answer,,0,false
call_20260501_100002,2026-05-01 10:00:00 +0000 UTC,client_1002,GB-LDN,service_renewal,busy,,0,false
call_20260501_100003,2026-05-01 10:00:00 +0000 UTC,client_1003,FR-PAR,loan_offer,wrong_number,,0,false
call_20260501_100004,2026-05-01 10:00:00 +0000 UTC,client_1004,DE-BY,insurance_sale,answered,interested,34,true
call_20260501_100005,2026-05-01 10:00:00 +0000 UTC,client_1005,US-NY,credit_card_offer,no_answer,,0,false
call_20260501_100006,2026-05-01 10:00:00 +0000 UTC,client_1006,IT-ROM,product_upgrade,busy,,0,false
call_20260501_100007,2026-05-01 10:00:00 +0000 UTC,client_1007,ES-MAD,service_renewal,wrong_number,,0,false
call_20260501_100008,2026-05-01 10:00:00 +0000 UTC,client_1008,DE-HE,loan_offer,answered,interested,38,true
call_20260501_100009,2026-05-01 10:00:00 +0000 UTC,client_1009,US-CA,insurance_sale,no_answer,,0,false
call_20260501_10001,2026-05-01 10:00:00 +0000 UTC,client_1001,US-CA,product_upgrade,no_answer,,0,false
call_20260501_100010,2026-05-01 10:00:00 +0000 UTC,client_1010,GB-LDN,credit_card_offer,busy,,0,false
call_20260501_100011,2026-05-01 10:00:00 +0000 UTC,client_1011,FR-PAR,product_upgrade,wrong_number,,0,false
call_20260501_100012,2026-05-01 10:00:00 +0000 UTC,client_1012,DE-BY,service_renewal,answered,interested,42,true
call_20260501_100013,2026-05-01 10:00:00 +0000 UTC,client_1013,US-NY,loan_offer,no_answer,,0,false
call_20260501_100014,2026-05-01 10:00:00 +0000 UTC,client_1014,IT-ROM,insurance_sale,busy,,0,false
call_20260501_100015,2026-05-01 10:00:00 +0000 UTC,client_1015,ES-MAD,credit_card_offer,wrong_number,,0,false
call_20260501_100016,2026-05-01 10:00:00 +0000 UTC,client_1016,DE-HE,product_upgrade,answered,interested,46,true
call_20260501_100017,2026-05-01 10:00:00 +0000 UTC,client_1017,US-CA,service_renewal,no_answer,,0,false
call_20260501_100018,2026-05-01 10:00:00 +0000 UTC,client_1018,GB-LDN,loan_offer,busy,,0,false
call_20260501_100019,2026-05-01 10:00:00 +0000 UTC,client_1019,FR-PAR,insurance_sale,wrong_number,,0,false
call_20260501_10002,2026-05-01 10:00:00 +0000 UTC,client_1002,GB-LDN,service_renewal,busy,,0,false
call_20260501_100020,2026-05-01 10:00:00 +0000 UTC,client_1020,DE-BY,credit_card_offer,answered,interested,50,true
call_20260501_100021,2026-05-01 10:00:00 +0000 UTC,client_1021,US-NY,product_upgrade,no_answer,,0,false
call_20260501_100022,2026-05-01 10:00:00 +0000 UTC,client_1022,IT-ROM,service_renewal,busy,,0,false
call_20260501_100023,2026-05-01 10:00:00 +0000 UTC,client_1023,ES-MAD,loan_offer,wrong_number,,0,false
call_20260501_100024,2026-05-01 10:00:00 +0000 UTC,client_1024,DE-HE,insurance_sale,answered,interested,54,true
call_20260501_100025,2026-05-01 10:00:00 +0000 UTC,client_1025,US-CA,credit_card_offer,no_answer,,0,false
call_20260501_100026,2026-05-01 10:00:00 +0000 UTC,client_1026,GB-LDN,product_upgrade,busy,,0,false
call_20260501_100027,2026-05-01 10:00:00 +0000 UTC,client_1027,FR-PAR,service_renewal,wrong_number,,0,false
